Report ID,Report URL,Bug Title,Bounty Rewarded,Reporter,Organization,Created At,Disclosed At
104013,https://hackerone.com/reports/104013,heap buffer overflow in enchant_broker_request_dict(),$500,sparaschoudis,ibb-php,2014-12-05T00:00:00.000Z,2015-01-26T00:00:00.000Z
104012,https://hackerone.com/reports/104012,Integer overflow in unserialize() (32-bits only),$500,sparaschoudis,ibb-php,2015-09-18T00:00:00.000Z,2015-10-15T00:00:00.000Z
104011,https://hackerone.com/reports/104011,AddressSanitizer reports a global buffer overflow in mkgmtime() function,$500,sparaschoudis,ibb-php,2015-09-16T00:00:00.000Z,2015-10-15T00:00:00.000Z
104010,https://hackerone.com/reports/104010,SOAP serialize_function_call() type confusion / RCE,"$1,500",andreapalazzo,ibb-php,2015-08-29T00:00:00.000Z,2015-09-02T00:00:00.000Z
104009,https://hackerone.com/reports/104009,zend_throw_or_error() format string vulnerability,$500,ryat,ibb-php,2015-11-14T00:00:00.000Z,2015-11-14T00:00:00.000Z
104008,https://hackerone.com/reports/104008,Uninitialized pointer in phar_make_dirstream,"$1,000",haquaman,ibb-php,2015-09-05T00:00:00.000Z,2015-09-29T00:00:00.000Z
104007,https://hackerone.com/reports/104007,Buffer over-read in exif_read_data with TIFF IFD tag,"$1,000",haquaman,ibb-php,2015-08-28T00:00:00.000Z,2015-09-01T00:00:00.000Z
104006,https://hackerone.com/reports/104006,Null pointer deref (segfault) in spl_autoload via ob_start,$500,haquaman,ibb-php,2015-08-18T00:00:00.000Z,2015-08-23T00:00:00.000Z
104005,https://hackerone.com/reports/104005,null pointer deref (segfault) in zend_eval_const_expr,$500,haquaman,ibb-php,2015-08-02T00:00:00.000Z,2015-08-02T00:00:00.000Z
104004,https://hackerone.com/reports/104004,Mem out-of-bounds write (segfault) in ZEND_ASSIGN_DIV_SPEC_CV_UNUSED_HANDLER,$500,haquaman,ibb-php,2015-08-02T00:00:00.000Z,2015-08-02T00:00:00.000Z
104003,https://hackerone.com/reports/104003,Python deque.index() uninitialized memory,"$1,000",johnleitch,ibb-python,2015-08-21T00:00:00.000Z,2015-09-03T00:00:00.000Z
104002,https://hackerone.com/reports/104002,Python scan_eol() Buffer Over-read,$500,johnleitch,ibb-python,2015-09-02T00:00:00.000Z,2015-09-03T00:00:00.000Z
104001,https://hackerone.com/reports/104001,time_strftime() Buffer Over-read,$500,johnleitch,ibb-python,2015-08-22T00:00:00.000Z,2015-09-07T00:00:00.000Z
104000,https://hackerone.com/reports/104000,Python xmlparse_setattro() Type Confusion,$500,johnleitch,ibb-python,2015-09-07T00:00:00.000Z,2015-09-07T00:00:00.000Z
103999,https://hackerone.com/reports/103999,Use after free vulnerability in unserialize() with GMP,$500,ryat,ibb-php,2015-08-17T00:00:00.000Z,2015-09-01T00:00:00.000Z
103998,https://hackerone.com/reports/103998,Use After Free Vulnerability in session deserializer,$500,ryat,ibb-php,2015-08-09T00:00:00.000Z,2015-09-01T00:00:00.000Z
103997,https://hackerone.com/reports/103997,Use After Free Vulnerability in unserialize(),"$1,000",ryat,ibb-php,2015-07-31T00:00:00.000Z,2015-09-01T00:00:00.000Z
103996,https://hackerone.com/reports/103996,Use After Free Vulnerability in unserialize() with SplObjectStorage,"$1,000",ryat,ibb-php,2015-08-27T00:00:00.000Z,2015-09-01T00:00:00.000Z
103995,https://hackerone.com/reports/103995,Use After Free Vulnerability in unserialize() with SplDoublyLinkedList,"$1,000",ryat,ibb-php,2015-08-27T00:00:00.000Z,2015-09-01T00:00:00.000Z
103994,https://hackerone.com/reports/103994,Python 3.3 - 3.5 product_setstate() Out-of-bounds Read,$500,johnleitch,ibb-python,2015-09-08T00:00:00.000Z,2015-09-12T00:00:00.000Z
103993,https://hackerone.com/reports/103993,Request Hijacking Vulnerability In RubyGems 2.4.6 And Earlier,"$1,500",claudijd,ibb-ruby,2015-05-06T00:00:00.000Z,2015-05-14T00:00:00.000Z
103992,https://hackerone.com/reports/103992,Integer overflow in _Unpickler_Read,$500,hugbounter,ibb-python,2015-09-26T00:00:00.000Z,2015-09-26T00:00:00.000Z
103991,https://hackerone.com/reports/103991,mod_lua: Crash in websockets PING handling,$500,guido,ibb-apache,2015-01-28T00:00:00.000Z,2015-02-04T00:00:00.000Z
103990,https://hackerone.com/reports/103990,Null pointer dereference in phar_get_fp_offset(),$500,libnex,ibb-php,2015-05-28T00:00:00.000Z,2015-09-29T00:00:00.000Z
100829,https://hackerone.com/reports/100829,Stored-XSS in https://www.coinbase.com/,"$5,000",hazimaslam,coinbase,2015-11-21T10:49:01.029Z,2015-12-07T15:10:39.908Z
96470,https://hackerone.com/reports/96470,Missing of csrf protection,$500,harishkumar0394,shopify,2015-10-29T09:27:47.934Z,2015-12-07T21:26:35.535Z
101450,https://hackerone.com/reports/101450,XSS in creating tweets,$500,cj71f,shopify,2015-11-24T12:34:34.454Z,2015-12-03T22:02:26.038Z
99321,https://hackerone.com/reports/99321,[CSRF] Activate PayPal Express Checkout,$500,zombiehelp54,shopify,2015-11-12T16:57:37.924Z,2015-12-03T17:26:19.144Z
97292,https://hackerone.com/reports/97292,HTTP header injection in info.hackerone.com allows setting cookies for hackerone.com,"$1,000",harisec,security,2015-11-02T17:58:35.684Z,2015-12-02T05:31:31.937Z
100509,https://hackerone.com/reports/100509,Pre-generation of 2FA secret/backup codes seems like an unnecessary risk,"$1,000",danlec,security,2015-11-19T16:06:20.160Z,2015-12-02T05:09:10.288Z
99708,https://hackerone.com/reports/99708,Limited CSRF bypass.,$500,harshafriend4all,security,2015-11-14T19:45:05.651Z,2015-12-02T05:25:37.160Z
98469,https://hackerone.com/reports/98469,Email Verification Link can be Used as Password Reset Link!,$50,karimrahal,binary,2015-11-07T15:43:12.214Z,2015-12-03T11:07:42.983Z
91604,https://hackerone.com/reports/91604,Crossdomain.xml settings on api.imgur.com too open,$50,arbazhussain,imgur,2015-10-01T10:39:07.189Z,2015-12-09T18:11:40.805Z
98499,https://hackerone.com/reports/98499,Apps can access 'channels' beta api,$500,rms,shopify,2015-11-07T19:43:56.968Z,2015-11-18T21:03:22.247Z
96908,https://hackerone.com/reports/96908,An administrator without the 'Settings' permission is able to see payment gateways,$500,brakhane,shopify,2015-10-30T23:46:24.189Z,2015-11-18T20:58:31.135Z
99374,https://hackerone.com/reports/99374,deleted staff member can add his amazon marketplace web services account to the store.,$500,zombiehelp54,shopify,2015-11-12T22:17:32.980Z,2015-11-18T20:23:47.415Z
98083,https://hackerone.com/reports/98083,No password length restriction denial of service,$100,secureashishpathak,itbit,2015-11-05T16:10:58.745Z,2015-12-04T17:05:06.469Z
96467,https://hackerone.com/reports/96467,Persistent XSS in https://p.imgur.com/albumview.gif and http://p.imgur.com/imageview.gif / post statistics,$50,sleepprogger,imgur,2015-10-29T08:57:46.145Z,2015-12-09T17:46:36.683Z
97948,https://hackerone.com/reports/97948,Cross-domain AJAX request,"$2,500",ragnar,security,2015-11-05T02:02:04.633Z,2015-11-14T15:22:16.880Z
97191,https://hackerone.com/reports/97191,Send AJAX request to external domain,"$2,500",killr0x33d,security,2015-11-02T01:07:39.782Z,2015-11-14T14:47:09.895Z
95599,https://hackerone.com/reports/95599,Cross Site Scripting,$50,paulos_,binary,2015-10-24T13:28:31.945Z,2015-11-13T16:52:29.817Z
95981,https://hackerone.com/reports/95981,Http Response Splitting - Validate link,$75,gjavado,binary,2015-10-26T23:48:50.529Z,2015-11-15T12:21:01.580Z
95804,https://hackerone.com/reports/95804,[api.allodsteam.com] Authentication Data,$300,bigbear_,mailru,2015-10-25T18:34:40.200Z,2015-12-01T13:18:14.165Z
96890,https://hackerone.com/reports/96890,A 'Full access' administrator is able to see the shop owners user details,$500,brakhane,shopify,2015-10-30T23:05:30.461Z,2015-11-10T23:17:24.278Z
98259,https://hackerone.com/reports/98259,'Limited' RCE in certain places where Liquid is accepted,"$1,500",brakhane,shopify,2015-11-06T13:37:33.389Z,2015-11-10T23:17:32.596Z
97535,https://hackerone.com/reports/97535,List of devices is accessible regardless of the account limitations,$500,rms,shopify,2015-11-04T00:29:53.767Z,2015-11-10T22:44:06.488Z
92481,https://hackerone.com/reports/92481,Accessing Payments page and adding payment methods with limited access accounts,$500,shahmeer-amir,shopify,2015-10-05T21:22:50.988Z,2015-11-10T22:31:49.351Z
95589,https://hackerone.com/reports/95589,Privilege escalation and circumvention of permission to limited access user,$500,elamaran619,shopify,2015-10-24T12:39:14.004Z,2015-11-11T02:06:42.520Z
93680,https://hackerone.com/reports/93680,Missing authorization check on dashboard overviews,$500,shahmeer-amir,shopify,2015-10-13T17:48:54.159Z,2015-11-10T22:24:59.913Z
98281,https://hackerone.com/reports/98281,XSS Reflected in test.qiwi.ru,$200,hassham,qiwi,2015-11-06T16:16:12.872Z,2015-12-11T17:12:28.995Z
98247,https://hackerone.com/reports/98247,login to any user's cashier account and full account information disclosure,$300,zombiehelp54,binary,2015-11-06T12:03:55.131Z,2015-11-14T21:36:47.469Z
97657,https://hackerone.com/reports/97657,File upload XSS (Java applet) on http://slackatwork.com/,$200,hassham,slack,2015-11-04T11:10:53.600Z,2015-11-11T18:03:55.984Z
97510,https://hackerone.com/reports/97510,Following a User After Favoriting Actually Follows Another User (related to #95243),$280,ericr,twitter,2015-11-03T21:43:56.140Z,2015-12-02T17:42:20.929Z
97683,https://hackerone.com/reports/97683,Reflected Self-XSS in Slack,$100,harry_mg,slack,2015-11-04T12:39:02.780Z,2015-11-10T18:32:15.422Z
81201,https://hackerone.com/reports/81201,Reflective XSS in projects.invisionapp.com,$100,psychomantis,invision,2015-08-08T08:48:16.647Z,2015-11-23T02:38:09.770Z
96337,https://hackerone.com/reports/96337,"Stored XSS in Slack (weird, trial and error)",$500,harry_mg,slack,2015-10-28T14:32:33.024Z,2015-11-10T18:32:42.063Z
96855,https://hackerone.com/reports/96855,Staff members with no permission to  access domains can access them.,$500,zombiehelp54,shopify,2015-10-30T20:15:33.890Z,2015-11-03T01:11:15.180Z
93616,https://hackerone.com/reports/93616,get users information without full access,$500,pouya,shopify,2015-10-13T07:41:18.949Z,2015-11-04T18:50:22.488Z
93901,https://hackerone.com/reports/93901,Bypassing password requirement during deletion of accout,$500,jitendra,shopify,2015-10-14T20:36:17.660Z,2015-11-03T19:06:22.953Z
95441,https://hackerone.com/reports/95441,Unauthorized access to any Store Admin's First & Last name,$500,hazimaslam,shopify,2015-10-23T21:08:19.922Z,2015-11-07T21:25:00.707Z
95243,https://hackerone.com/reports/95243,Following a User Actually Follows Another User,$280,ericr,twitter,2015-10-22T23:07:36.649Z,2015-12-02T17:40:51.446Z
88881,https://hackerone.com/reports/88881,"XSS: https://light.mail.ru/compose, https://m.mail.ru/compose/[id]/reply _À„Û_ü __„â___µ„â_µ ___¡ „Å_À_µ„ _ü_¡_È„Î__„Ü__ ___±„Û_¡_á____ „Å„ã__„Û___ü„Û_____¡_______µ _À_ü„Å„Î____",$500,aesteral,mailru,2015-09-14T20:26:33.476Z,2015-11-16T13:22:40.987Z
95932,https://hackerone.com/reports/95932,user-agent Content spoofing,$50,behroz,itbit,2015-10-26T18:10:56.713Z,2015-11-28T15:30:07.783Z
93394,https://hackerone.com/reports/93394,Unauthenticated access to details of hidden products in any shop via title emuneration,"$1,000",juhhga,shopify,2015-10-12T03:49:19.322Z,2015-10-23T20:08:47.691Z
94502,https://hackerone.com/reports/94502,Some S3 Buckets are world readable (and one is world writeable),$500,brakhane,shopify,2015-10-18T16:53:53.657Z,2015-10-24T14:18:02.688Z
93294,https://hackerone.com/reports/93294,First & Last Name Disclosure of any Shopify Store Admin,$500,hazimaslam,shopify,2015-10-11T03:29:05.547Z,2015-11-09T20:36:37.223Z
67393,https://hackerone.com/reports/67393,Enumeration and Guessable Email (OWASP-AT-002)T hrough Login Form,$150,dipak_das,invision,2015-06-11T09:22:37.581Z,2015-10-23T18:04:48.582Z
87168,https://hackerone.com/reports/87168,www.shopify.com XSS on blog pages via sharing buttons,$500,reactors08,shopify,2015-09-03T08:09:51.486Z,2015-10-21T16:11:33.539Z
92353,https://hackerone.com/reports/92353,CSV Injection in polldaddy.com,$75,strukt,automattic,2015-10-04T23:17:40.723Z,2015-11-20T14:27:08.783Z
94899,https://hackerone.com/reports/94899,Paid account can review\download any invoice of any other shop,"$4,000",dvl,shopify,2015-10-20T20:15:09.077Z,2015-10-22T20:44:39.830Z
94087,https://hackerone.com/reports/94087,Arbitrary read on s3://shopify-delivery-app-storage/files,"$1,500",brakhane,shopify,2015-10-15T20:38:59.534Z,2015-10-20T20:27:10.858Z
93921,https://hackerone.com/reports/93921,"Unauthorized access to all collections, products, pages from other stores","$2,500",pouya,shopify,2015-10-14T22:52:59.241Z,2015-10-20T16:00:36.331Z
94230,https://hackerone.com/reports/94230,Cross-site Scripting in all Zopim,"$1,000",mdv,zopim,2015-10-16T14:56:26.648Z,2015-10-20T22:53:27.181Z
93691,https://hackerone.com/reports/93691,Arbitrary write on s3://shopify-delivery-app-storage/files,"$2,000",brakhane,shopify,2015-10-13T19:22:49.202Z,2015-10-15T18:55:26.436Z
90671,https://hackerone.com/reports/90671,Privilege escalation vulnerability,$500,marhvhelous,shopify,2015-09-27T16:06:21.090Z,2015-10-14T20:38:55.672Z
57505,https://hackerone.com/reports/57505,amazon aws s3 bucket content is public :-  http://shopify.com.s3.amazonaws.com/,$500,pulkit_pandey,shopify,2015-04-20T20:00:31.371Z,2015-10-15T03:47:27.183Z
93004,https://hackerone.com/reports/93004,unauthorized access to all collections name,"$2,000",pouya,shopify,2015-10-08T21:23:04.635Z,2015-10-14T19:45:27.215Z
50941,https://hackerone.com/reports/50941,A user can enhance their videos with paid tracks without buying the track,$250,satishb3,vimeo,2015-03-11T08:40:37.368Z,2015-10-14T15:41:40.723Z
92740,https://hackerone.com/reports/92740,SPF records not found,$100,brain,coinbase,2015-10-07T10:03:52.049Z,2015-10-14T08:27:59.867Z
90912,https://hackerone.com/reports/90912,Inadequate input validation on API endpoint leading to self denial of service and increased system load.,$500,mantis,irccloud,2015-09-29T13:59:37.609Z,2015-10-12T17:45:20.270Z
93106,https://hackerone.com/reports/93106,Subdomain Takeover in http://staging.wepay.com/ pointing to Fastly,$100,harry_mg,wepay,2015-10-09T12:45:53.500Z,2015-12-10T09:04:22.900Z
62174,https://hackerone.com/reports/62174,Internet Explorer Enhanced Protected Mode sandbox escape via a broker vulnerability,"$3,000",ashutoshmehra,sandbox,2015-05-12T19:27:16.779Z,2015-10-09T07:00:24.622Z
66958,https://hackerone.com/reports/66958,Microsoft Internet Explorer ActiveX Broker Allows EPM Bypass,"$3,000",yopwn,sandbox,2015-06-09T19:16:17.803Z,2015-10-09T06:59:17.234Z
49935,https://hackerone.com/reports/49935,rails-ujs will send CSRF tokens to other origins,"$1,000",mastahyeti,rails,2015-03-03T18:42:54.912Z,2015-06-16T19:21:31.440Z
44513,https://hackerone.com/reports/44513,RCE due to Web Console IP Whitelist bypass in Rails 4.0 and 4.1,$500,joernchen,rails,2015-01-21T12:51:04.867Z,2015-06-16T19:21:46.422Z
92350,https://hackerone.com/reports/92350,CSV Injection,$128,strukt,trello,2015-10-04T22:34:00.717Z,2015-10-13T20:43:53.539Z
92050,https://hackerone.com/reports/92050,Normal User can add new users to group,$256,sarwarjahan,trello,2015-10-02T16:42:09.867Z,2015-10-14T17:08:04.277Z
92453,https://hackerone.com/reports/92453,unauthorized access to all customers first and last name,"$2,500",pouya,shopify,2015-10-05T18:54:10.867Z,2015-10-06T18:04:12.916Z
92344,https://hackerone.com/reports/92344,customers password hash leak!!!!,$500,pouya,shopify,2015-10-04T21:38:16.541Z,2015-10-05T18:44:48.271Z
87577,https://hackerone.com/reports/87577,Stored XSS on vimeo.com and player.vimeo.com,$200,esevece,vimeo,2015-09-05T06:28:15.228Z,2015-11-30T14:17:08.376Z
89505,https://hackerone.com/reports/89505,Self-XSS in posts by formatting text as code,$100,harry_mg,slack,2015-09-18T04:55:10.911Z,2015-11-10T18:33:51.508Z
55546,https://hackerone.com/reports/55546,Open Redirect after login at http://ecommerce.shopify.com,$500,dhaval,shopify,2015-04-09T20:00:50.208Z,2015-10-05T18:38:33.749Z
90690,https://hackerone.com/reports/90690,change Login Services settings without owner access,"$1,000",pouya,shopify,2015-09-27T20:38:00.359Z,2015-10-14T19:54:09.411Z
56626,https://hackerone.com/reports/56626,Shop admin can change external login services,"$1,000",satishb3,shopify,2015-04-16T09:53:14.564Z,2015-10-02T03:34:59.280Z
90753,https://hackerone.com/reports/90753,Content Spoofing,$50,girish_s_pattanashetty,zendesk,2015-09-28T13:16:01.331Z,2015-11-02T22:43:27.979Z
80298,https://hackerone.com/reports/80298,_Õ___µ_«„Û_µ___ü_µ _À„Û___ü_á_____È„Î________ javascript-„Å„ _µ___¡„Û_ü„è __ „ã„Ä____„ _ü_____¡_È_µ _À„Û__„Å____„â„Û_¡ _ü_á___±„Û_¡___µ___ü__ _____±_ü_È„Î______ ___µ„Û„Å_ü_ü „Å_¡__„â_¡,$500,bo0om,vkcom,2015-08-03T11:26:58.890Z,2015-10-30T12:10:41.684Z
66121,https://hackerone.com/reports/66121,XSS at http://vk.com on IE using flash files,$500,tunnelshade,vkcom,2015-06-05T09:56:45.013Z,2015-10-30T12:23:19.628Z
65330,https://hackerone.com/reports/65330,_ù_µ _«__„Å„â_¡„â__„à___¡„è _À„Û_____µ„Û___¡ _È_____ü___¡ „Å___¡___À,$100,abr1k0s,vkcom,2015-06-01T22:34:48.127Z,2015-10-30T11:34:43.884Z
87561,https://hackerone.com/reports/87561,OAUTH pemission set as true= lead to authorize malicious application,$100,paresh_parmar,coinbase,2015-09-05T01:31:17.205Z,2015-12-01T14:26:06.718Z
90274,https://hackerone.com/reports/90274,CSV Excel Macro Injection Vulnerability in export chat logs,$100,psychomantis,zopim,2015-09-24T05:20:48.138Z,2015-11-05T19:38:38.503Z
90131,https://hackerone.com/reports/90131,CSV Excel Macro Injection Vulnerability in export customer tickets,$100,psychomantis,zendesk,2015-09-23T09:18:02.387Z,2015-11-02T22:43:14.705Z
56936,https://hackerone.com/reports/56936,Notification request disclose private information about other myshopify accounts,"$4,000",dvl,shopify,2015-04-17T14:39:07.291Z,2015-09-24T03:24:56.776Z
89624,https://hackerone.com/reports/89624,Cross-site Scripting https://www.zendesk.com/product/pricing/,$100,mdv,zendesk,2015-09-19T11:48:48.895Z,2015-12-09T02:06:13.759Z
67557,https://hackerone.com/reports/67557,Bypass access restrictions from API,"$1,000",pouya,shopify,2015-06-12T09:03:50.585Z,2015-09-18T19:44:41.027Z
56726,https://hackerone.com/reports/56726,Invitation issue,$500,frozen,shopify,2015-04-16T17:36:16.848Z,2015-09-16T20:35:43.934Z
81736,https://hackerone.com/reports/81736,XSS in WordPress,$100,blinkms,automattic,2015-08-11T15:25:36.288Z,2015-10-16T16:17:29.199Z
88395,https://hackerone.com/reports/88395,Information leakage through Graphviz blocks,$300,jbeta,phabricator,2015-09-11T01:18:57.641Z,2015-09-13T19:55:14.805Z
87040,https://hackerone.com/reports/87040,XSS on OAuth authorize/authenticate endpoint,"$2,520",filedescriptor,twitter,2015-09-02T15:24:28.460Z,2015-11-20T18:49:04.664Z
85720,https://hackerone.com/reports/85720,IDOR on remoing Share,$250,crab,romit,2015-08-30T18:46:30.968Z,2015-11-27T06:26:11.492Z
85720,https://hackerone.com/reports/85720,IDOR on remoing Share,$250,crab,romit,2015-08-30T18:46:30.968Z,2015-11-27T06:26:11.492Z
78412,https://hackerone.com/reports/78412,Cross site scripting,$150,smitgajra007,mailru,2015-07-24T15:23:23.592Z,2015-12-11T10:54:10.198Z
56779,https://hackerone.com/reports/56779,XSS on ecommerce.shopify.com,$500,killr0x33d,shopify,2015-04-16T19:50:58.471Z,2015-09-06T20:25:01.310Z
86504,https://hackerone.com/reports/86504,[CRITICAL] Login To Any Account Linked With Google+ With Email Only,$100,egyxos,anghami,2015-09-01T15:08:44.057Z,2015-10-02T23:54:35.464Z
81757,https://hackerone.com/reports/81757,Self XSS in chat.,$500,00day,shopify,2015-08-11T17:25:34.010Z,2015-09-02T16:43:15.599Z
86468,https://hackerone.com/reports/86468,[https://www.anghami.com/updatemailinfo/] Sql Injection,$300,aaj__,anghami,2015-09-01T14:51:06.092Z,2015-10-02T11:49:34.547Z
86022,https://hackerone.com/reports/86022,Multiple so called  'type juggling' attacks. Most notably PhabricatorUser::validateCSRFToken() is 'bypassable' in certain cases.,$450,superkritisch,phabricator,2015-09-01T01:08:56.393Z,2015-10-01T22:57:15.654Z
85291,https://hackerone.com/reports/85291,XSS https://www.shopify.com/signup,$500,mdv,shopify,2015-08-27T22:32:52.176Z,2015-08-31T22:37:28.032Z
75357,https://hackerone.com/reports/75357,Session Cookie without HttpOnly and secure flag set,$100,pradeepch99,qiwi,2015-07-14T10:05:39.855Z,2015-09-27T08:36:43.881Z
84709,https://hackerone.com/reports/84709,[API ISSUE] agents can Create agents even after they are disabled !,$100,harshafriend4all,zopim,2015-08-25T19:41:28.508Z,2015-09-10T01:23:51.084Z
72785,https://hackerone.com/reports/72785,CSV Injection with the CVS export feature,$500,appsec3,security,2015-06-26T19:53:52.138Z,2015-09-21T22:04:25.799Z
10801,https://hackerone.com/reports/10801,report a reflected XSS,$400,faisal123,99designs,2014-05-03T13:29:28.124Z,2014-07-08T10:00:29.595Z
81441,https://hackerone.com/reports/81441,XSS https://delivery.shopifyapps.com/  (Digital Downloads App  in myshopify.com),$500,00day,shopify,2015-08-09T20:12:25.508Z,2015-08-24T22:29:00.454Z
67389,https://hackerone.com/reports/67389,SSRF via 'Insert Image' feature of Products/Collections/Frontpage,$500,alpha,shopify,2015-06-11T09:05:59.151Z,2015-08-24T14:47:13.085Z
67660,https://hackerone.com/reports/67660,Verification code issues for Two-Step Authentication,$100,maverickrocky02,automattic,2015-06-12T20:58:31.999Z,2015-09-20T16:05:47.316Z
82725,https://hackerone.com/reports/82725,Stored XSS in comments,$500,zombiehelp54,zendesk,2015-08-16T06:14:48.821Z,2015-11-13T22:07:11.539Z
79393,https://hackerone.com/reports/79393,__„â__„Û„Ü„â„Ü__ _«__„Å„â„Ä_À __ ____„Û_À__„Û_¡„â_ü____„Ü__ _«_¡____„Ü__.,$500,sw3nlab,qiwi,2015-07-29T08:05:52.425Z,2015-11-02T21:33:31.949Z
77802,https://hackerone.com/reports/77802,TCP Source Port Pass Firewall,"$1,000",salmankhanchampion,shopify,2015-07-22T14:55:39.324Z,2015-08-11T15:10:49.339Z
73566,https://hackerone.com/reports/73566,Reflected XSS in chat,$500,skavans,shopify,2015-07-01T23:40:29.545Z,2015-08-11T16:02:24.281Z
80936,https://hackerone.com/reports/80936,Private Program and bounty details disclosed as part of JSON search response,$500,techguynoob,security,2015-08-06T15:41:19.751Z,2015-08-31T04:10:14.675Z
60573,https://hackerone.com/reports/60573,http://fitter1.i.mail.ru/browser/ „â__„Û„à_ü„â Graphite __ ___ü„Û,$400,isox,mailru,2015-05-11T11:43:04.820Z,2015-09-13T13:04:18.332Z
67161,https://hackerone.com/reports/67161,Possible xWork classLoader RCE: shared.mail.ru,$200,isox,mailru,2015-06-10T09:27:21.118Z,2015-09-13T13:03:37.088Z
77076,https://hackerone.com/reports/77076,GA code not verified on the server side allows sending Verification Documents on behalf of another user,$250,crab,romit,2015-07-20T20:42:07.571Z,2015-11-27T06:28:47.665Z
80597,https://hackerone.com/reports/80597,Number of invited researchers disclosed as part of JSON search response,$500,jessescitech,security,2015-08-04T22:46:14.051Z,2015-08-05T00:22:04.355Z
77319,https://hackerone.com/reports/77319,Full path disclosure at https://keybase.io/_/api/1.0/invitation_request.json,$100,s_p_q_r,keybase,2015-07-21T13:27:47.914Z,2015-09-04T18:16:23.265Z
77067,https://hackerone.com/reports/77067,"No rate limiting for sensitive actions (like ""forgot password"") enables user enumeration",$250,paresh_parmar,keybase,2015-07-20T20:27:29.820Z,2015-08-04T05:11:44.793Z
77081,https://hackerone.com/reports/77081,Content Sniffing not disabled,$250,alihassanghori,keybase,2015-07-20T20:48:50.106Z,2015-08-05T01:28:42.527Z
79185,https://hackerone.com/reports/79185,Content spoofing through Referel header,$25,pradeepch99,flox,2015-07-28T07:45:34.191Z,2015-08-29T03:15:17.821Z
76738,https://hackerone.com/reports/76738,Open redirect filter bypass,$25,aaj__,zaption,2015-07-19T10:59:20.289Z,2015-08-24T16:58:58.952Z
77060,https://hackerone.com/reports/77060,SMTP protection not used,$500,mom,keybase,2015-07-20T20:08:46.575Z,2015-08-28T21:02:16.110Z
